Frame,X,Y,Time
15,708,160,00:00:00.5005
25,742,238,00:00:00.8341666666666666
39,754,230,00:00:01.3013
72,782,154,00:00:02.4024
93,808,208,00:00:03.1031
104,530,310,00:00:03.470133333333333
116,564,292,00:00:03.8705333333333334
129,808,208,00:00:04.3043000000000005
139,740,296,00:00:04.637966666666667
152,808,208,00:00:05.071733333333333
163,714,278,00:00:05.438766666666666
175,788,156,00:00:05.839166666666667
195,746,242,00:00:06.5065
206,650,226,00:00:06.8735333333333335
216,568,314,00:00:07.207199999999999
226,624,280,00:00:07.540866666666667
252,468,336,00:00:08.4084
262,870,132,00:00:08.742066666666668
272,468,178,00:00:09.075733333333334
293,808,208,00:00:09.776433333333335
303,790,308,00:00:10.110100000000001
313,752,296,00:00:10.443766666666667
344,808,208,00:00:11.478133333333334
354,808,208,00:00:11.811800000000002
364,604,286,00:00:12.145466666666668
388,516,296,00:00:12.946266666666666
398,808,208,00:00:13.279933333333334
408,808,208,00:00:13.6136
426,460,246,00:00:14.2142
440,808,208,00:00:14.681333333333335
473,548,152,00:00:15.782433333333334
485,502,300,00:00:16.182833333333335
497,808,208,00:00:16.583233333333332
510,808,208,00:00:17.017
521,788,314,00:00:17.38403333333333
534,808,208,00:00:17.8178
546,850,210,00:00:18.2182
557,850,274,00:00:18.585233333333335
569,808,208,00:00:18.985633333333336
586,788,170,00:00:19.55286666666667
597,784,180,00:00:19.919900000000002
611,808,208,00:00:20.38703333333333
641,808,210,00:00:21.388033333333333
652,808,210,00:00:21.755066666666664
673,808,210,00:00:22.455766666666666
683,808,210,00:00:22.789433333333335
693,636,282,00:00:23.1231
706,808,210,00:00:23.556866666666668
717,808,210,00:00:23.9239
728,780,136,00:00:24.290933333333335
764,530,296,00:00:25.492133333333335
781,498,234,00:00:26.05936666666667
791,618,270,00:00:26.39303333333333
802,542,266,00:00:26.760066666666667
813,588,276,00:00:27.127100000000002
832,808,210,00:00:27.761066666666665
871,808,210,00:00:29.06236666666667
882,808,210,00:00:29.4294
892,808,210,00:00:29.763066666666667
902,808,210,00:00:30.096733333333333
924,808,210,00:00:30.8308
936,808,210,00:00:31.2312
946,808,210,00:00:31.564866666666667
957,808,210,00:00:31.931900000000002
969,808,210,00:00:32.3323
980,808,210,00:00:32.699333333333335
990,664,260,00:00:33.033
1000,650,272,00:00:33.36666666666667
1010,808,208,00:00:33.70033333333333
1023,654,266,00:00:34.1341
1036,526,180,00:00:34.56786666666667
1053,682,280,00:00:35.1351
1071,808,208,00:00:35.735699999999994
1089,714,290,00:00:36.3363
1109,836,298,00:00:37.00363333333333
1126,884,284,00:00:37.57086666666667
1140,838,312,00:00:38.038
1150,746,272,00:00:38.37166666666666
1162,634,296,00:00:38.77206666666667
1179,612,282,00:00:39.3393
1207,798,154,00:00:40.27356666666667
1217,508,162,00:00:40.60723333333334
1261,858,170,00:00:42.07536666666667
1275,886,158,00:00:42.5425
1291,874,168,00:00:43.076366666666665
1317,816,296,00:00:43.9439
1327,780,234,00:00:44.277566666666665
1344,660,268,00:00:44.844800000000006
1355,648,272,00:00:45.21183333333334
1367,616,280,00:00:45.612233333333336
1381,656,258,00:00:46.079366666666665
1391,658,260,00:00:46.41303333333333
1433,828,146,00:00:47.814433333333334
1443,808,210,00:00:48.1481
1458,798,316,00:00:48.6486
1469,724,306,00:00:49.015633333333334
1480,608,280,00:00:49.382666666666665
1490,524,350,00:00:49.71633333333334
1500,496,198,00:00:50.05
1529,644,232,00:00:51.01763333333333
1541,642,226,00:00:51.418033333333334
1556,612,136,00:00:51.918533333333336
1571,808,210,00:00:52.41903333333333
1582,806,212,00:00:52.78606666666666
1592,780,290,00:00:53.119733333333336
1602,750,296,00:00:53.4534
1614,610,242,00:00:53.8538
1624,534,302,00:00:54.187466666666666
1634,510,212,00:00:54.52113333333333
1645,546,248,00:00:54.88816666666666
1655,510,212,00:00:55.221833333333336
1679,472,286,00:00:56.02263333333333
1689,806,212,00:00:56.356300000000005
1712,488,264,00:00:57.123733333333334
1738,510,212,00:00:57.99126666666667
1748,576,274,00:00:58.324933333333334
1770,510,212,00:00:59.059
1785,510,212,00:00:59.5595
1796,510,212,00:00:59.92653333333333
1830,510,212,00:01:01.061
1855,508,244,00:01:01.8951666666666611
1865,806,210,00:01:02.228833333333334
1876,806,212,00:01:02.595866666666666
1887,806,212,00:01:02.9629000000000048
1897,462,314,00:01:03.2965666666666635
1914,806,212,00:01:03.863800000000005
1926,806,212,00:01:04.264200000000002
1938,510,212,00:01:04.664599999999993
1951,510,212,00:01:05.098366666666664
1965,578,306,00:01:05.5655
1976,806,212,00:01:05.932533333333339
1987,506,338,00:01:06.299566666666664
1999,510,212,00:01:06.699966666666668
2009,806,214,00:01:07.033633333333327
2022,510,212,00:01:07.467399999999998
2032,510,212,00:01:07.801066666666671
2042,806,214,00:01:08.134733333333344
2054,510,214,00:01:08.535133333333334
2065,510,214,00:01:08.902166666666673
2076,552,312,00:01:09.269199999999998
2086,806,212,00:01:09.60286666666667
2112,494,334,00:01:10.470399999999998
2125,510,214,00:01:10.904166666666669
2138,630,276,00:01:11.33793333333334
2158,518,242,00:01:12.005266666666657
2168,584,246,00:01:12.33893333333333
2179,510,214,00:01:12.705966666666669
2189,806,212,00:01:13.039633333333327
2199,510,214,00:01:13.3733
2214,510,214,00:01:13.873800000000003
2225,510,214,00:01:14.240833333333327
2237,544,184,00:01:14.641233333333332
2247,498,164,00:01:14.974899999999991
2259,516,174,00:01:15.37530000000001
2274,510,214,00:01:15.875799999999998
2284,510,214,00:01:16.20946666666667
2296,508,214,00:01:16.60986666666666
2306,628,278,00:01:16.943533333333335
2316,654,270,00:01:17.277199999999993
2328,670,302,00:01:17.677600000000012
2341,508,214,00:01:18.11136666666667
2353,508,214,00:01:18.51176666666666
2365,508,214,00:01:18.91216666666668
2375,630,286,00:01:19.245833333333323
2387,508,214,00:01:19.646233333333342
2399,508,214,00:01:20.046633333333332
2409,508,214,00:01:20.380300000000005
2426,508,214,00:01:20.94753333333334
2447,470,284,00:01:21.648233333333337
2457,484,322,00:01:21.98190000000001
2467,508,214,00:01:22.31556666666667
2477,482,270,00:01:22.649233333333342
2487,478,316,00:01:22.982900000000015
2498,508,214,00:01:23.34993333333334
2508,806,212,00:01:23.683600000000013
2523,530,266,00:01:24.1841
2544,510,212,00:01:24.8848
2554,510,212,00:01:25.21846666666667
2569,820,288,00:01:25.718966666666674
2580,510,214,00:01:26.086
2596,510,212,00:01:26.619866666666667
2606,848,308,00:01:26.95353333333334
2616,510,212,00:01:27.2872
2626,594,282,00:01:27.62086666666667
2637,806,214,00:01:27.98790000000001
2647,510,212,00:01:28.32156666666667
2658,508,212,00:01:28.688600000000008
2668,830,306,00:01:29.022266666666667
2693,510,212,00:01:29.856433333333328
2703,758,242,00:01:30.1901
2717,806,214,00:01:30.657233333333338
2727,468,314,00:01:30.99090000000001
2737,454,290,00:01:31.32456666666667
2752,806,214,00:01:31.82506666666667
2763,806,214,00:01:32.19210000000001
2776,672,224,00:01:32.62586666666667
2787,426,262,00:01:32.992900000000006
2799,806,214,00:01:33.393299999999996
2809,674,282,00:01:33.72696666666667
2821,510,214,00:01:34.127366666666674
2831,790,306,00:01:34.46103333333335
2849,508,212,00:01:35.06163333333333
2859,830,302,00:01:35.395300000000006
2869,844,346,00:01:35.72896666666668
2879,830,196,00:01:36.06263333333334
2890,508,212,00:01:36.42966666666668
2944,528,308,00:01:38.23146666666668
2955,508,212,00:01:38.5985
2965,506,328,00:01:38.932166666666674
2979,492,294,00:01:39.3993
2992,508,212,00:01:39.83306666666667
3015,508,196,00:01:40.6005
3025,490,282,00:01:40.93416666666667
3048,510,212,00:01:41.7016
3063,806,212,00:01:42.2021
3077,510,264,00:01:42.66923333333334
3101,510,212,00:01:43.47003333333333
3112,806,212,00:01:43.83706666666667
3126,776,184,00:01:44.304199999999994
3144,464,182,00:01:44.90480000000001
3155,672,152,00:01:45.27183333333333
3165,512,214,00:01:45.605500000000006
3175,854,138,00:01:45.939166666666665
3236,670,174,00:01:47.97453333333334
3246,510,212,00:01:48.3082
3257,580,240,00:01:48.67523333333334
3270,510,212,00:01:49.108999999999995
3281,510,212,00:01:49.47603333333333
3291,584,228,00:01:49.80969999999999
3305,510,212,00:01:50.27683333333333
3317,510,212,00:01:50.677233333333334
3335,510,212,00:01:51.277833333333334
3350,510,212,00:01:51.77833333333332
3367,510,212,00:01:52.34556666666667
3378,510,212,00:01:52.71260000000001
3395,510,212,00:01:53.27983333333333
3410,510,212,00:01:53.78033333333333
3420,510,212,00:01:54.114000000000004
3430,568,304,00:01:54.44766666666668
3458,486,332,00:01:55.381933333333336
3481,510,212,00:01:56.149366666666666
3493,510,212,00:01:56.549766666666656
3504,510,212,00:01:56.91680000000001
3516,510,212,00:01:57.3172
3528,510,212,00:01:57.717600000000004
3551,508,212,00:01:58.485033333333334
3565,660,274,00:01:58.95216666666667
