Set,Rally,Frame,X,Y,Time,Getpoint_player,Lose_reason
1,1,13,902,312,00:00:00.43376666666666663,,
1,1,24,904,312,00:00:00.8008000000000001,,
1,1,36,904,312,00:00:01.2012,,
1,1,46,876,172,00:00:01.5348666666666668,A,0
1,2,60,906,312,00:00:02.002,,
1,2,72,780,156,00:00:02.4024,,
1,2,100,546,234,00:00:03.3366666666666664,,
1,2,110,904,312,00:00:03.6703333333333337,,
1,2,122,904,312,00:00:04.070733333333334,,
1,2,133,686,276,00:00:04.437766666666667,,
1,2,143,776,330,00:00:04.771433333333333,,
1,2,158,904,312,00:00:05.271933333333333,,
1,2,174,790,154,00:00:05.8058000000000005,,
1,2,201,666,172,00:00:06.7067,,
1,2,215,906,310,00:00:07.173833333333333,A,0
1,3,231,906,312,00:00:07.7077,,
1,3,253,908,314,00:00:08.441766666666666,,
1,3,263,870,130,00:00:08.775433333333334,,
1,3,273,904,314,00:00:09.1091,,
1,3,285,904,312,00:00:09.5095,,
1,3,295,642,424,00:00:09.843166666666667,,
1,3,306,802,322,00:00:10.2102,,
1,3,326,904,310,00:00:10.877533333333332,,
1,3,344,904,310,00:00:11.478133333333334,,
1,3,360,620,162,00:00:12.012,,
1,3,384,904,312,00:00:12.812800000000001,A,0
1,4,400,904,312,00:00:13.346666666666666,,
1,4,410,904,312,00:00:13.680333333333333,,
1,4,420,904,312,00:00:14.014,,
1,4,430,454,302,00:00:14.347666666666665,,
1,4,444,904,312,00:00:14.814800000000002,,
1,4,473,904,312,00:00:15.782433333333334,,
1,4,483,902,312,00:00:16.1161,,
1,4,504,902,312,00:00:16.8168,,
1,4,514,726,300,00:00:17.150466666666667,,
1,4,531,902,314,00:00:17.7177,,
1,4,545,854,210,00:00:18.184833333333334,,
1,4,558,850,276,00:00:18.618599999999997,,
1,4,574,802,256,00:00:19.152466666666665,,
1,4,588,788,512,00:00:19.6196,,
1,4,599,802,256,00:00:19.986633333333334,,
1,4,611,894,174,00:00:20.38703333333333,A,0
1,5,623,802,256,00:00:20.787433333333333,,
1,5,636,802,256,00:00:21.2212,,
1,5,647,904,310,00:00:21.588233333333335,,
1,5,675,650,140,00:00:22.5225,,
1,5,711,804,256,00:00:23.7237,,
1,5,730,784,198,00:00:24.357666666666667,,
1,5,751,578,322,00:00:25.058366666666668,,
