Frame,Visibility,X,Y
1,1,679,380
2,1,679,380
3,1,681,384
4,1,684,387
5,1,685,393
6,1,689,401
7,1,691,408
8,1,691,410
9,1,693,420
10,1,692,430
11,0,0,0
12,1,701,335
13,1,705,234
14,1,705,234
15,1,707,191
16,1,709,106
17,1,713,66
18,1,714,19
19,1,713,5
20,1,717,4
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,1,775,3
61,1,774,19
62,1,774,18
63,1,776,32
64,1,777,46
65,1,778,63
66,1,779,81
67,1,780,95
68,1,780,98
69,1,781,111
70,1,782,130
71,1,785,144
72,1,772,154
73,1,752,137
74,1,749,138
75,1,730,122
76,1,708,112
77,1,696,103
78,1,683,100
79,1,672,95
80,1,672,95
81,1,661,92
82,1,653,93
83,1,643,93
84,1,636,94
85,1,624,99
86,1,625,98
87,1,616,102
88,1,609,107
89,1,601,115
90,1,596,123
91,1,587,134
92,1,589,134
93,1,580,146
94,1,576,158
95,1,570,170
96,1,562,185
97,1,558,198
98,1,559,198
99,1,553,216
100,1,548,234
101,1,543,254
102,1,537,277
103,1,533,298
104,1,531,310
105,1,527,342
106,0,0,0
107,1,532,350
108,1,541,323
109,1,541,326
110,1,545,319
111,1,550,305
112,1,555,302
113,1,558,298
114,1,561,296
115,1,561,294
116,1,563,293
117,1,567,295
118,1,570,296
119,1,572,299
120,1,576,303
121,1,574,303
122,1,577,308
123,1,578,312
124,1,601,301
125,1,612,290
126,1,622,286
127,1,625,284
128,0,0,0
129,1,651,278
130,1,662,276
131,1,678,276
132,1,688,275
133,1,689,275
134,1,702,278
135,1,713,280
136,1,722,284
137,1,730,291
138,1,741,297
139,1,742,297
140,1,751,304
141,1,759,314
142,1,770,324
143,1,778,334
144,1,785,345
145,1,787,345
146,1,792,357
147,1,798,372
148,1,806,386
149,1,812,398
150,1,817,417
151,1,821,421
152,1,827,440
153,1,834,456
154,1,840,467
155,1,837,466
156,0,0,0
157,1,830,378
158,1,818,336
159,1,813,301
160,1,809,274
161,1,805,248
162,1,803,232
163,1,803,232
164,1,802,218
165,1,798,202
166,1,797,188
167,1,795,182
168,1,795,174
169,1,793,176
170,1,793,169
171,1,791,164
172,1,791,160
173,1,790,157
174,1,789,157
175,1,789,157
176,1,788,157
177,1,788,158
178,1,788,162
179,1,787,165
180,1,789,170
181,1,788,172
182,1,771,155
183,1,761,144
184,1,748,134
185,1,738,129
186,1,732,123
187,1,732,123
188,1,722,121
189,1,719,118
190,1,709,118
191,1,704,118
192,1,698,122
193,1,698,122
194,1,694,124
195,1,687,131
196,1,683,137
197,1,678,143
198,1,673,152
199,1,673,152
200,1,668,163
201,1,666,176
202,1,661,189
203,1,656,198
204,1,653,219
205,1,652,218
206,1,651,230
207,1,650,248
208,1,645,272
209,1,641,290
210,1,636,312
211,1,636,312
212,0,0,0
213,0,0,0
214,0,0,0
215,1,582,324
216,1,573,314
217,1,573,314
218,1,561,308
219,1,556,307
220,1,548,305
221,1,544,306
222,1,539,307
223,1,540,307
224,1,538,308
225,1,536,312
226,1,536,318
227,1,532,322
228,1,530,322
229,1,531,325
230,1,526,322
231,1,522,314
232,1,516,300
233,1,510,292
234,1,507,288
235,1,507,289
236,1,505,283
237,1,502,277
238,1,497,276
239,1,494,273
240,1,492,273
241,1,492,273
