Frame,Visibility,X,Y,Time
3,1,904,312,00:00:00.10010000000000001
4,1,904,312,00:00:00.13346666666666668
5,1,904,312,00:00:00.16683333333333333
6,1,904,312,00:00:00.20020000000000002
7,1,904,312,00:00:00.23356666666666667
8,1,1050,202,00:00:00.26693333333333336
9,1,1048,202,00:00:00.3003
10,1,1050,206,00:00:00.33366666666666667
11,1,1050,204,00:00:00.3670333333333334
12,1,1050,204,00:00:00.40040000000000003
13,1,902,312,00:00:00.43376666666666663
14,1,904,312,00:00:00.46713333333333334
15,1,904,312,00:00:00.5005
16,1,708,104,00:00:00.5338666666666667
17,1,714,56,00:00:00.5672333333333334
18,1,716,18,00:00:00.6006
19,1,634,404,00:00:00.6339666666666667
20,1,904,312,00:00:00.6673333333333333
21,1,1050,202,00:00:00.7007000000000001
22,1,1050,202,00:00:00.7340666666666668
23,1,1050,202,00:00:00.7674333333333334
24,1,904,312,00:00:00.8008000000000001
25,1,904,312,00:00:00.8341666666666666
26,1,1048,202,00:00:00.8675333333333333
27,1,652,422,00:00:00.9008999999999999
28,1,906,312,00:00:00.9342666666666667
29,1,904,312,00:00:00.9676333333333333
30,1,904,310,00:00:01.001
31,1,904,312,00:00:01.0343666666666669
32,1,904,312,00:00:01.0677333333333334
33,1,904,312,00:00:01.1011
34,1,430,178,00:00:01.1344666666666667
35,1,428,178,00:00:01.1678333333333333
36,1,904,312,00:00:01.2012
37,1,876,172,00:00:01.2345666666666666
38,1,904,312,00:00:01.2679333333333334
39,1,906,312,00:00:01.3013
40,1,906,312,00:00:01.3346666666666667
41,1,906,312,00:00:01.3680333333333332
42,1,906,312,00:00:01.4014000000000002
43,1,904,312,00:00:01.4347666666666667
44,1,906,312,00:00:01.4681333333333335
45,1,906,312,00:00:01.5015
46,1,876,172,00:00:01.5348666666666668
47,1,904,312,00:00:01.5682333333333334
48,1,904,312,00:00:01.6016000000000001
49,1,906,312,00:00:01.6349666666666667
50,1,904,312,00:00:01.6683333333333332
51,1,872,130,00:00:01.7017
52,1,872,130,00:00:01.7350666666666665
53,1,906,312,00:00:01.7684333333333333
54,1,906,312,00:00:01.8017999999999998
55,1,906,312,00:00:01.8351666666666668
56,1,906,312,00:00:01.8685333333333334
57,1,906,312,00:00:01.9019000000000001
