set,rally,frame_num,time,hit_area,hit_x,hit_y,landing_area,landing_x,landing_y,lose_reason,getpoint_player,type,hitting
1,1,13,00:00:00.43376666666666663,A3,312,902,A3,312.0,904.0,,,,A
1,1,24,00:00:00.8008000000000001,A3,312,904,A3,312.0,904.0,,,,B
1,1,36,00:00:01.2012,A3,312,904,A3,172.0,876.0,,,,A
1,1,46,00:00:01.5348666666666668,A3,172,876,A3,312.0,906.0,出界,A,,B
1,2,60,00:00:02.002,A3,312,906,A2,156.0,780.0,,,,A
1,2,72,00:00:02.4024,A2,156,780,A1,234.0,546.0,,,,B
1,2,100,00:00:03.3366666666666664,A1,234,546,A3,312.0,904.0,,,,A
1,2,110,00:00:03.6703333333333337,A3,312,904,A3,312.0,904.0,,,,B
1,2,122,00:00:04.070733333333334,A3,312,904,A2,276.0,686.0,,,,A
1,2,133,00:00:04.437766666666667,A2,276,686,B2,330.0,776.0,,,,B
1,2,143,00:00:04.771433333333333,B2,330,776,A3,312.0,904.0,,,,A
1,2,158,00:00:05.271933333333333,A3,312,904,A2,154.0,790.0,,,,B
1,2,174,00:00:05.8058000000000005,A2,154,790,A2,172.0,666.0,,,,A
1,2,201,00:00:06.7067,A2,172,666,A3,310.0,906.0,,,,B
1,2,215,00:00:07.173833333333333,A3,310,906,A3,312.0,906.0,出界,A,,A
1,3,231,00:00:07.7077,A3,312,906,A3,314.0,908.0,,,,A
1,3,253,00:00:08.441766666666666,A3,314,908,A3,130.0,870.0,,,,B
1,3,263,00:00:08.775433333333334,A3,130,870,A3,314.0,904.0,,,,A
1,3,273,00:00:09.1091,A3,314,904,A3,312.0,904.0,,,,B
1,3,285,00:00:09.5095,A3,312,904,D2,424.0,642.0,,,,A
1,3,295,00:00:09.843166666666667,D2,424,642,B2,322.0,802.0,,,,B
1,3,306,00:00:10.2102,B2,322,802,A3,310.0,904.0,,,,A
1,3,326,00:00:10.877533333333332,A3,310,904,A3,310.0,904.0,,,,B
1,3,344,00:00:11.478133333333334,A3,310,904,A1,162.0,620.0,,,,A
1,3,360,00:00:12.012,A1,162,620,A3,312.0,904.0,,,,B
1,3,384,00:00:12.812800000000001,A3,312,904,A3,312.0,904.0,出界,A,,A
1,4,400,00:00:13.346666666666666,A3,312,904,A3,312.0,904.0,,,,A
1,4,410,00:00:13.680333333333333,A3,312,904,A3,312.0,904.0,,,,B
1,4,420,00:00:14.014,A3,312,904,A1,302.0,454.0,,,,A
1,4,430,00:00:14.347666666666665,A1,302,454,A3,312.0,904.0,,,,B
1,4,444,00:00:14.814800000000002,A3,312,904,A3,312.0,904.0,,,,A
1,4,473,00:00:15.782433333333334,A3,312,904,A3,312.0,902.0,,,,B
1,4,483,00:00:16.1161,A3,312,902,A3,312.0,902.0,,,,A
1,4,504,00:00:16.8168,A3,312,902,A2,300.0,726.0,,,,B
1,4,514,00:00:17.150466666666667,A2,300,726,A3,314.0,902.0,,,,A
1,4,531,00:00:17.7177,A3,314,902,A2,210.0,854.0,,,,B
1,4,545,00:00:18.184833333333334,A2,210,854,A2,276.0,850.0,,,,A
1,4,558,00:00:18.618599999999997,A2,276,850,A2,256.0,802.0,,,,B
1,4,574,00:00:19.152466666666665,A2,256,802,D2,512.0,788.0,,,,A
1,4,588,00:00:19.6196,D2,512,788,A2,256.0,802.0,,,,B
1,4,599,00:00:19.986633333333334,A2,256,802,A3,174.0,894.0,,,,A
1,4,611,00:00:20.38703333333333,A3,174,894,A2,256.0,802.0,出界,A,,B
1,5,623,00:00:20.787433333333333,A2,256,802,A2,256.0,802.0,,,,A
1,5,636,00:00:21.2212,A2,256,802,A3,310.0,904.0,,,,B
1,5,647,00:00:21.588233333333335,A3,310,904,A2,140.0,650.0,,,,A
1,5,675,00:00:22.5225,A2,140,650,A2,256.0,804.0,,,,B
1,5,711,00:00:23.7237,A2,256,804,A2,198.0,784.0,,,,A
1,5,730,00:00:24.357666666666667,A2,198,784,B1,322.0,578.0,,,,B
1,5,751,00:00:25.058366666666668,B1,322,578,A1,280.0,526.0,,,,A
1,5,765,00:00:25.5255,A1,280,526,A1,222.0,508.0,,,,B
1,5,777,00:00:25.925900000000002,A1,222,508,A1,308.0,494.0,,,,A
1,5,789,00:00:26.3263,A1,308,494,A1,290.0,530.0,,,,B
1,5,800,00:00:26.69333333333333,A1,290,530,A1,248.0,572.0,,,,A
1,5,811,00:00:27.060366666666667,A1,248,572,A2,256.0,802.0,出界,A,,B
1,6,833,00:00:27.794433333333334,A2,256,802,A2,256.0,800.0,,,,A
1,6,873,00:00:29.1291,A2,256,800,A2,256.0,802.0,,,,B
1,6,886,00:00:29.562866666666668,A2,256,802,A2,254.0,804.0,,,,A
1,6,896,00:00:29.896533333333334,A2,254,804,A3,162.0,886.0,,,,B
1,6,908,00:00:30.296933333333335,A3,162,886,A2,256.0,802.0,,,,A
1,6,924,00:00:30.8308,A2,256,802,A2,256.0,800.0,,,,B
1,6,939,00:00:31.3313,A2,256,800,A3,312.0,902.0,,,,A
1,6,958,00:00:31.965266666666665,A3,312,902,A2,260.0,680.0,,,,B
1,6,972,00:00:32.4324,A2,260,680,A1,220.0,522.0,,,,A
1,6,988,00:00:32.96626666666667,A1,220,522,A2,152.0,730.0,出界,A,,B
1,7,1002,00:00:33.4334,A2,152,730,A2,254.0,804.0,,,,A
1,7,1012,00:00:33.767066666666665,A2,254,804,A3,312.0,902.0,,,,B
1,7,1044,00:00:34.8348,A3,312,902,A3,314.0,902.0,,,,A
1,7,1054,00:00:35.16846666666667,A3,314,902,A2,256.0,802.0,,,,B
1,7,1064,00:00:35.50213333333333,A2,256,802,A1,236.0,548.0,,,,A
1,7,1077,00:00:35.935900000000004,A1,236,548,A2,290.0,714.0,,,,B
1,7,1089,00:00:36.3363,A2,290,714,A2,310.0,786.0,,,,A
1,7,1099,00:00:36.66996666666667,A2,310,786,A2,298.0,836.0,,,,B
1,7,1109,00:00:37.00363333333333,A2,298,836,A3,260.0,868.0,,,,A
1,7,1119,00:00:37.337300000000006,A3,260,868,A3,302.0,892.0,,,,B
1,7,1129,00:00:37.670966666666665,A3,302,892,D2,514.0,834.0,,,,A
1,7,1142,00:00:38.104733333333336,D2,514,834,A2,282.0,670.0,,,,B
1,7,1159,00:00:38.67196666666667,A2,282,670,A2,256.0,802.0,,,,A
1,7,1181,00:00:39.40603333333333,A2,256,802,A2,300.0,800.0,出界,A,,B
1,8,1225,00:00:40.87416666666667,A2,300,800,A3,172.0,888.0,,,,A
1,8,1252,00:00:41.77506666666667,A3,172,888,A3,292.0,898.0,,,,B
1,8,1267,00:00:42.27556666666666,A3,292,898,A2,260.0,802.0,,,,A
1,8,1278,00:00:42.6426,A2,260,802,A2,254.0,798.0,,,,B
1,8,1289,00:00:43.00963333333333,A2,254,798,A3,306.0,894.0,,,,A
1,8,1300,00:00:43.376666666666665,A3,306,894,A3,162.0,884.0,,,,B
1,8,1315,00:00:43.87716666666667,A3,162,884,A2,240.0,782.0,,,,A
1,8,1325,00:00:44.21083333333333,A2,240,782,A3,312.0,904.0,,,,B
1,8,1337,00:00:44.61123333333334,A3,312,904,A3,312.0,904.0,,,,A
1,8,1350,00:00:45.045,A3,312,904,A3,310.0,904.0,,,,B
1,8,1369,00:00:45.67896666666667,A3,310,904,A3,314.0,904.0,出界,A,,A
1,9,1393,00:00:46.47976666666667,A3,314,904,A3,312.0,904.0,,,,A
1,9,1421,00:00:47.414033333333336,A3,312,904,A3,312.0,904.0,,,,B
1,9,1431,00:00:47.7477,A3,312,904,A3,314.0,904.0,,,,A
1,9,1447,00:00:48.28156666666666,A3,314,904,A2,314.0,800.0,,,,B
1,9,1458,00:00:48.6486,A2,314,800,A2,288.0,698.0,,,,A
1,9,1471,00:00:49.082366666666665,A2,288,698,A1,306.0,560.0,,,,B
1,9,1485,00:00:49.5495,A1,306,560,A3,312.0,904.0,,,,A
1,9,1500,00:00:50.05,A3,312,904,A3,312.0,904.0,,,,B
1,9,1514,00:00:50.517133333333334,A3,312,904,B2,362.0,660.0,,,,A
1,9,1565,00:00:52.218833333333336,B2,362,660,A2,256.0,796.0,,,,B
1,9,1576,00:00:52.58586666666667,A2,256,796,A2,308.0,792.0,,,,A
1,9,1596,00:00:53.25320000000001,A2,308,792,A2,258.0,700.0,,,,B
1,9,1606,00:00:53.586866666666666,A2,258,700,A1,246.0,594.0,,,,A
1,9,1616,00:00:53.92053333333333,A1,246,594,A1,268.0,522.0,出界,A,,B
1,10,1636,00:00:54.58786666666667,A1,268,522,A3,134.0,896.0,,,,A
1,10,1646,00:00:54.921533333333336,A3,134,896,A1,290.0,476.0,,,,B
1,10,1679,00:00:56.02263333333333,A1,290,476,A2,256.0,802.0,,,,A
1,10,1710,00:00:57.057,A2,256,802,A2,254.0,800.0,,,,B
1,10,1742,00:00:58.12473333333334,A2,254,800,A1,288.0,586.0,,,,A
1,10,1752,00:00:58.458400000000005,A1,288,586,A2,256.0,800.0,,,,B
1,10,1773,00:00:59.159099999999995,A2,256,800,A2,266.0,728.0,,,,A
1,10,1793,00:00:59.826433333333334,A2,266,728,A2,256.0,800.0,,,,B
1,10,1803,00:01:00.1600999999999999,A2,256,800,A2,256.0,800.0,出界,A,,A
1,11,1822,00:01:00.7940666666666658,A2,256,800,A1,300.0,562.0,,,,A
1,11,1832,00:01:01.1277333333333388,A1,300,562,A1,192.0,530.0,,,,B
1,11,1842,00:01:01.4614000000000047,A1,192,530,A1,222.0,512.0,,,,A
1,11,1853,00:01:01.8284333333333365,A1,222,512,A2,254.0,798.0,,,,B
1,11,1868,00:01:02.3289333333333317,A2,254,798,A1,298.0,500.0,,,,A
1,11,1884,00:01:02.8628,A1,298,500,A1,310.0,464.0,,,,B
1,11,1897,00:01:03.2965666666666635,A1,310,464,A1,288.0,530.0,,,,A
1,11,1914,00:01:03.863800000000005,A1,288,530,A2,146.0,758.0,,,,B
1,11,1946,00:01:04.931533333333334,A2,146,758,A1,296.0,588.0,,,,A
1,11,1964,00:01:05.532133333333334,A1,296,588,A1,310.0,564.0,出界,A,,B
1,12,2029,00:01:07.700966666666673,A1,310,564,A2,258.0,800.0,,,,A
1,12,2043,00:01:08.16810000000001,A2,258,800,A2,258.0,800.0,,,,B
1,12,2054,00:01:08.535133333333334,A2,258,800,A2,256.0,800.0,,,,A
1,12,2065,00:01:08.902166666666673,A2,256,800,A1,310.0,558.0,,,,B
1,12,2077,00:01:09.302566666666664,A1,310,558,A2,256.0,800.0,,,,A
1,12,2087,00:01:09.636233333333337,A2,256,800,A1,308.0,496.0,,,,B
1,12,2109,00:01:10.3703,A1,308,496,A1,294.0,490.0,出界,A,,A
1,13,2126,00:01:10.937533333333334,A1,294,490,A2,256.0,800.0,,,,A
1,13,2155,00:01:11.905166666666673,A2,256,800,A2,256.0,800.0,,,,B
1,13,2165,00:01:12.238833333333332,A2,256,800,A2,288.0,834.0,,,,A
1,13,2184,00:01:12.872799999999998,A2,288,834,A2,258.0,798.0,,,,B
1,13,2194,00:01:13.206466666666671,A2,258,798,A2,256.0,800.0,,,,A
1,13,2209,00:01:13.706966666666673,A2,256,800,A2,254.0,800.0,,,,B
1,13,2219,00:01:14.040633333333332,A2,254,800,A2,252.0,798.0,,,,A
1,13,2256,00:01:15.275199999999998,A2,252,798,A2,254.0,798.0,,,,B
1,13,2268,00:01:15.675600000000003,A2,254,798,D1,452.0,546.0,出界,A,,A
1,14,2308,00:01:17.010266666666666,D1,452,546,A1,134.0,522.0,,,,A
1,14,2389,00:01:19.712966666666674,A1,134,522,A1,308.0,490.0,,,,B
1,14,2408,00:01:20.34693333333334,A1,308,490,A1,288.0,480.0,,,,A
1,14,2428,00:01:21.014266666666657,A1,288,480,A1,240.0,474.0,,,,B
1,14,2438,00:01:21.34793333333333,A1,240,474,A1,286.0,470.0,,,,A
1,14,2448,00:01:21.681600000000003,A1,286,470,A1,290.0,490.0,出界,A,,B
1,15,2472,00:01:22.482400000000013,A1,290,490,A1,282.0,482.0,,,,A
1,15,2484,00:01:22.882800000000003,A1,282,482,A1,292.0,492.0,,,,B
1,15,2499,00:01:23.383300000000006,A1,292,492,A1,224.0,518.0,,,,A
1,15,2511,00:01:23.783699999999996,A1,224,518,A1,270.0,532.0,,,,B
1,15,2523,00:01:24.1841,A1,270,532,A2,302.0,824.0,,,,A
1,15,2564,00:01:25.55213333333333,A2,302,824,A2,226.0,828.0,,,,B
1,15,2582,00:01:26.15273333333333,A2,226,828,A2,226.0,848.0,,,,A
1,15,2598,00:01:26.686600000000013,A2,226,848,A1,286.0,594.0,出界,A,,B
1,16,2626,00:01:27.62086666666667,A1,286,594,A2,286.0,648.0,,,,A
1,16,2643,00:01:28.188100000000006,A2,286,648,A2,278.0,824.0,,,,B
1,16,2670,00:01:29.089,A2,278,824,A2,132.0,770.0,,,,A
1,16,2694,00:01:29.889800000000008,A2,132,770,A1,128.0,578.0,,,,B
1,16,2711,00:01:30.457033333333342,A1,128,578,A1,224.0,502.0,,,,A
1,16,2722,00:01:30.824066666666667,A1,224,502,A1,288.0,456.0,,,,B
1,16,2737,00:01:31.32456666666667,A1,288,456,A1,312.0,470.0,,,,A
1,16,2754,00:01:31.891800000000003,A1,312,470,A1,272.0,452.0,,,,B
1,16,2767,00:01:32.32556666666666,A1,272,452,A1,224.0,440.0,,,,A
1,16,2778,00:01:32.6926,A1,224,440,C1,316.0,424.0,,,,B
1,16,2792,00:01:33.159733333333335,C1,316,424,A2,300.0,812.0,出界,A,,A
1,17,2823,00:01:34.194100000000006,A2,300,812,A2,300.0,818.0,,,,A
1,17,2837,00:01:34.66123333333334,A2,300,818,A2,308.0,830.0,,,,B
1,17,2856,00:01:35.295199999999994,A2,308,830,A2,136.0,750.0,,,,A
1,17,2916,00:01:37.297200000000004,A2,136,750,B1,320.0,556.0,,,,B
