hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,ball_type
4,2,0,2,2,0,0,0,0,0,6.902,long
2,2,0,1,1,0,0,0,0,0,14.815,long
3,1,0,2,1,0,0,0,0,0,5.29,cut
2,1,0,0,2,0,0,0,0,0,15.11,netplay
4,2,0,2,2,0,0,0,0,0,19.035999999999998,lob
2,2,0,1,1,0,0,0,0,0,11.152999999999999,long
3,1,0,4,1,0,0,0,0,0,5.9479999999999995,smash
0,1,0,2,2,0,0,0,0,0,21.555,netplay
2,2,0,1,2,0,0,0,0,0,6.952999999999999,error
3,2,0,2,1,0,0,0,0,0,7.91,lob
2,1,0,0,1,0,0,0,0,0,49.083,smash
4,1,0,1,1,0,0,0,0,0,7.61,netplay
3,1,0,4,1,0,0,0,0,0,4.59,lob
0,1,0,2,1,0,0,0,0,0,10.265,long
2,1,0,0,1,0,0,0,0,0,23.427,cut
4,1,0,1,2,0,0,0,0,0,17.51,netplay
3,1,0,1,2,0,0,0,0,0,0.0,lob
3,2,0,1,1,0,0,0,0,0,3.844,long
3,1,0,2,1,0,0,0,0,0,15.059000000000001,cut
2,1,0,1,1,0,0,0,0,0,15.355,lob
3,2,0,1,1,0,0,0,0,0,13.72,error
3,1,0,1,2,0,0,0,0,0,0.0,cut
3,2,0,1,3,0,0,0,0,0,2.296,long
3,3,0,2,2,0,0,0,0,0,17.583,cut
2,2,0,1,1,0,0,0,0,0,5.127999999999999,lob
2,1,0,1,2,0,0,0,0,0,15.11,smash
3,2,0,1,2,0,0,0,0,0,17.651,netplay
3,2,0,0,1,0,0,0,0,0,0.0,lob
4,1,0,0,2,0,0,0,0,0,4.809,error
4,2,0,1,2,0,0,0,0,0,2.282,cut
3,2,0,1,1,0,0,0,0,0,15.36,netplay
3,1,0,0,1,0,0,0,0,0,3.884,lob
4,1,0,0,1,0,0,0,0,0,7.709,error
4,1,0,1,2,0,0,0,0,0,15.68,lob
3,2,0,1,2,0,0,0,0,0,3.202,long
3,2,0,2,2,0,0,0,0,0,0.213,lob
2,2,0,1,1,0,0,0,0,0,11.539000000000001,netplay
3,1,0,1,1,0,0,0,0,0,2.467,drive
3,1,0,1,1,0,0,0,0,0,13.94,netplay
3,1,0,4,1,0,0,0,0,0,9.305,error
0,1,0,2,2,0,0,0,0,0,3.4410000000000003,lob
2,2,0,0,1,0,0,0,0,0,3.878,cut
4,1,0,1,1,0,0,0,0,0,6.726,netplay
3,1,0,1,2,0,0,0,0,0,16.547,lob
3,2,0,1,1,0,0,0,0,0,21.956999999999997,cut
3,1,0,0,1,0,0,0,0,0,4.476,netplay
4,1,0,2,1,0,0,0,0,0,6.848,lob
2,1,0,2,2,0,0,0,0,0,14.254000000000001,cut
2,2,0,2,2,0,0,0,0,0,2.7680000000000002,netplay
2,2,0,1,2,0,0,0,0,0,8.624,lob
2,2,0,2,2,0,0,0,0,0,25.995,long
2,2,0,1,2,0,0,0,0,0,16.895,error
3,2,0,1,1,0,0,0,0,0,1.671,smash
3,1,0,1,1,0,0,0,0,0,0.0,error
3,1,0,1,1,0,0,0,0,0,11.954,error
3,1,0,1,1,0,0,0,0,0,4.641,error
3,1,0,0,1,0,0,0,0,0,2.865,long
4,1,0,0,2,0,0,0,0,0,1.8030000000000002,cut
4,2,0,2,2,0,0,0,0,0,2.04,lob
2,2,0,1,2,0,0,0,0,0,3.273,smash
3,2,0,2,1,0,0,0,0,0,3.467,netplay
2,1,0,0,2,0,0,0,0,0,10.298,lob
4,2,0,2,2,0,0,0,0,0,13.164000000000001,netplay
2,2,0,3,1,0,0,0,0,0,3.34,lob
1,1,0,2,1,0,0,0,0,0,17.512999999999998,cut
2,1,0,1,1,0,0,0,0,0,17.624000000000002,netplay
3,1,0,3,1,0,0,0,0,0,13.640999999999998,lob
1,1,0,1,2,0,0,0,0,0,17.298,long
3,2,0,1,2,0,0,0,0,0,8.029,cut
3,2,0,1,2,0,0,0,0,0,6.51,error
3,2,0,1,2,0,0,0,0,0,2.148,lob
3,2,0,1,1,0,0,0,0,0,28.823,cut
3,1,0,0,1,0,0,0,0,0,1.541,netplay
4,1,0,0,1,0,0,0,0,0,3.045,netplay
4,2,0,0,2,0,0,0,0,0,5.109,error
4,2,0,2,1,0,0,0,0,0,12.777999999999999,smash
2,1,0,3,1,0,0,0,0,0,4.146,netplay
1,1,0,2,1,0,0,0,0,0,0.564,lob
2,1,0,0,2,0,0,0,0,0,0.0,lob
4,2,0,2,2,0,0,0,0,0,2.072,error
2,2,0,0,1,0,0,0,0,0,7.497000000000001,long
4,1,0,0,1,0,0,0,0,0,13.433,long
4,1,0,2,1,0,0,0,0,0,16.073,cut
2,1,0,1,2,0,0,0,0,0,18.480999999999998,netplay
3,2,0,1,1,0,0,0,0,0,9.249,error
3,1,0,3,1,0,0,0,0,0,42.00899999999999,smash
1,1,0,1,1,0,0,0,0,0,2.285,netplay
3,1,0,1,1,0,0,0,0,0,0.0,error
3,1,0,1,2,0,0,0,0,0,4.724,error
3,2,0,1,2,0,0,0,0,0,4.966,long
3,2,0,1,2,0,0,0,0,0,22.753,cut
4,2,0,0,2,0,0,0,0,0,6.072,lob
4,2,0,0,2,0,0,0,0,0,4.556,netplay
4,2,0,1,2,0,0,0,0,0,2.969,netplay
3,2,0,1,1,0,0,0,0,0,7.779,error
3,1,0,1,2,0,0,0,0,0,2.03,netplay
3,2,0,2,2,0,0,0,0,0,0.609,lob
2,1,0,0,2,0,0,0,0,0,0.0,smash
4,2,0,2,2,0,0,0,0,0,2.305,error
2,2,0,0,1,0,0,0,0,0,1.26,long
4,1,0,0,2,0,0,0,0,0,8.738,netplay
4,2,0,2,1,0,0,0,0,0,15.193,lob
2,1,0,1,1,0,0,0,0,0,23.46,cut
3,1,0,1,1,0,0,0,0,0,1.9509999999999998,netplay
3,1,0,2,2,0,0,0,0,0,0.0,rush
2,2,0,0,2,0,0,0,0,0,9.671,error
4,2,0,2,2,0,0,0,0,0,7.641,long
2,2,0,1,1,0,0,0,0,0,28.064,cut
3,1,0,2,2,0,0,0,0,0,5.492999999999999,lob
2,2,0,0,1,0,0,0,0,0,0.0,netplay
4,1,0,2,1,0,0,0,0,0,7.332000000000001,long
2,1,0,0,2,0,0,0,0,0,9.823,long
4,3,0,2,2,0,0,0,0,0,4.879,cut
2,2,0,1,1,0,0,0,0,0,16.829,netplay
3,1,0,2,2,0,0,0,0,0,17.166,error
2,2,0,3,1,0,0,0,0,0,6.941,netplay
1,1,0,1,2,0,0,0,0,0,17.657,lob
3,2,0,2,2,0,0,0,0,0,9.149,error
2,2,0,1,2,0,0,0,0,0,24.543000000000003,cut
3,2,0,2,1,0,0,0,0,0,11.505999999999998,lob
2,1,0,1,1,0,0,0,0,0,19.921,cut
3,1,0,1,1,0,0,0,0,0,0.0,netplay
3,1,0,1,2,0,0,0,0,0,10.384,error
3,2,0,1,2,0,0,0,0,0,7.029,netplay
3,2,0,0,3,0,0,0,0,0,11.700999999999999,lob
4,3,0,2,2,0,0,0,0,0,16.436,long
2,2,0,0,1,0,0,0,0,0,27.896,smash
4,1,0,2,2,0,0,0,0,0,0.0,error
2,2,0,1,1,0,0,0,0,0,4.5889999999999995,error
3,1,0,2,2,0,0,0,0,0,9.738,netplay
3,1,0,1,2,0,0,0,0,0,25.430999999999997,lob
3,2,0,1,1,0,0,0,0,0,10.319,error
3,1,0,4,1,0,0,0,0,0,5.752000000000001,cut
0,1,0,1,1,0,0,0,0,0,12.809000000000001,netplay
3,1,0,3,1,0,0,0,0,0,5.473,netplay
1,1,0,2,2,0,0,0,0,0,2.475,lob
2,2,0,2,1,0,0,0,0,0,20.441,cut
2,1,0,0,3,0,0,0,0,0,12.255,netplay
4,3,0,2,2,0,0,0,0,0,11.732999999999999,lob
3,2,0,0,2,0,0,0,0,0,14.263,long
4,2,0,0,2,0,0,0,0,0,8.24,long
4,2,0,0,1,0,0,0,0,0,0.0,long
4,1,0,2,1,0,0,0,0,0,6.8260000000000005,netplay
2,1,0,0,1,0,0,0,0,0,7.016,lob
4,1,0,1,2,0,0,0,0,0,2.779,long
3,2,0,0,3,0,0,0,0,0,6.995,netplay
4,3,0,1,1,0,0,0,0,0,3.03,lob
4,2,0,2,2,0,0,0,0,0,14.015999999999998,long
2,2,0,1,2,0,0,0,0,0,14.806,long
3,2,0,1,2,0,0,0,0,0,12.214,long
3,2,0,1,1,0,0,0,0,0,17.664,netplay
3,1,0,1,1,0,0,0,0,0,0.0,lob
3,1,0,1,1,0,0,0,0,0,3.4560000000000004,error
3,1,0,1,1,0,0,0,0,0,1.3019999999999998,long
3,1,0,1,2,0,0,0,0,0,9.162,lob
3,2,0,1,2,0,0,0,0,0,13.463,lob
3,3,0,0,2,0,0,0,0,0,28.346,cut
4,2,0,0,2,0,0,0,0,0,13.815999999999999,netplay
4,2,0,2,2,0,0,0,0,0,4.433,netplay
2,2,0,0,1,0,0,0,0,0,12.757,lob
4,1,0,2,1,0,0,0,0,0,0.0,netplay
2,1,0,1,1,0,0,0,0,0,3.787,error
3,1,0,0,3,0,0,0,0,0,8.152999999999999,error
4,3,0,2,2,0,0,0,0,0,10.4,netplay
2,2,0,0,3,0,0,0,0,0,7.4510000000000005,lob
2,2,0,1,2,0,0,0,0,0,2.452,cut
3,2,0,2,1,0,0,0,0,0,2.318,netplay
2,1,0,0,2,0,0,0,0,0,1.944,netplay
4,2,0,2,2,0,0,0,0,0,4.7589999999999995,lob
2,2,0,0,2,0,0,0,0,0,15.964,smash
4,2,0,2,1,0,0,0,0,0,0.0,error
2,1,0,0,1,0,0,0,0,0,10.013,error
4,1,0,2,1,0,0,0,0,0,2.835,error
2,1,0,1,1,0,0,0,0,0,7.031000000000001,long
3,1,0,1,1,0,0,0,0,0,22.103,cut
2,2,0,1,1,0,0,0,0,0,7.59,netplay
3,1,0,0,2,0,0,0,0,0,8.961,error
4,2,0,1,1,0,0,0,0,0,11.125,lob
3,1,0,4,1,0,0,0,0,0,10.031,error
0,1,0,0,3,0,0,0,0,0,10.9,lob
4,3,0,2,1,0,0,0,0,0,0.0,cut
2,1,0,2,1,0,0,0,0,0,15.329,netplay
2,1,0,1,2,0,0,0,0,0,16.11,lob
3,2,0,2,1,0,0,0,0,0,41.235,smash
2,1,0,1,1,0,0,0,0,0,9.116,netplay
3,1,0,2,1,0,0,0,0,0,8.58,netplay
2,1,0,0,2,0,0,0,0,0,12.001,lob
4,2,0,2,2,0,0,0,0,0,22.122,smash
4,2,0,0,2,0,0,0,0,0,10.193,error
4,2,0,1,1,0,0,0,0,0,1.2109999999999999,lob
3,1,0,0,1,0,0,0,0,0,1.2429999999999999,smash
4,1,0,1,1,0,0,0,0,0,0.0,error
3,1,0,1,2,0,0,0,0,0,8.216000000000001,netplay
3,2,0,1,2,0,0,0,0,0,8.232999999999999,lob
3,2,0,1,2,0,0,0,0,0,14.485,netplay
3,2,0,1,2,0,0,0,0,0,6.08,netplay
3,2,0,0,3,0,0,0,0,0,9.168,lob
4,3,0,2,1,0,0,0,0,0,33.899,lob
2,1,0,4,1,0,0,0,0,0,9.052,error
2,2,0,0,2,0,0,0,0,0,27.592,drive
4,2,0,0,2,0,0,0,0,0,15.215,error
4,2,0,0,2,0,0,0,0,0,7.675,long
4,2,0,2,2,0,0,0,0,0,4.681,cut
2,2,0,0,2,0,0,0,0,0,16.477,netplay
4,2,0,1,2,0,0,0,0,0,10.442,lob
3,2,0,1,1,0,0,0,0,0,0.0,long
3,1,0,1,2,0,0,0,0,0,3.225,long
3,2,0,4,1,0,0,0,0,0,18.614,netplay
0,1,0,2,1,0,0,0,0,0,6.077999999999999,netplay
2,1,0,4,1,0,0,0,0,0,4.238,netplay
0,1,0,4,1,0,0,0,0,0,15.537,netplay
4,1,0,2,2,0,0,0,0,0,1.854,netplay
2,2,0,1,1,0,0,0,0,0,1.3219999999999998,lob
3,1,0,1,1,0,0,0,0,0,3.707,smash
3,1,0,3,1,0,0,0,0,0,4.952,lob
1,1,0,2,2,0,0,0,0,0,22.320999999999998,cut
2,2,0,1,1,0,0,0,0,0,7.308,netplay
3,1,0,1,2,0,0,0,0,0,0.0,lob
3,2,0,0,3,0,0,0,0,0,6.801,error
4,3,0,2,2,0,0,0,0,0,1.204,error
2,2,0,0,3,0,0,0,0,0,1.454,long
4,3,0,2,2,0,0,0,0,0,10.235,netplay
2,2,0,0,2,0,0,0,0,0,13.732000000000001,error
4,2,0,4,1,0,0,0,0,0,4.763999999999999,netplay
0,1,0,2,1,0,0,0,0,0,14.202,lob
2,1,0,2,1,0,0,0,0,0,16.486,cut
2,1,0,2,2,0,0,0,0,0,15.866,lob
2,2,0,1,3,0,0,0,0,0,10.499,error
3,3,0,1,1,0,0,0,0,0,47.39,smash
1,1,0,1,2,0,0,0,0,0,2.404,netplay
3,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,2,2,0,0,0,0,0,18.195,error
2,2,0,0,1,0,0,0,0,0,10.863,netplay
4,1,0,4,1,0,0,0,0,0,5.129,netplay
0,1,0,2,1,0,0,0,0,0,3.728,netplay
2,1,0,4,1,0,0,0,0,0,11.777999999999999,lob
4,2,0,2,1,0,0,0,0,0,17.692,cut
2,1,0,0,1,0,0,0,0,0,15.762,netplay
4,1,0,2,1,0,0,0,0,0,6.875,lob
2,1,0,3,1,0,0,0,0,0,13.048,cut
1,1,0,1,1,0,0,0,0,0,8.835,lob
3,1,0,0,2,0,0,0,0,0,10.717,long
4,2,0,2,2,0,0,0,0,0,19.496,cut
2,2,0,0,1,0,0,0,0,0,12.242,lob
4,1,0,1,1,0,0,0,0,0,9.755,netplay
3,1,0,4,1,0,0,0,0,0,4.734,lob
0,1,0,2,2,0,0,0,0,0,13.299000000000001,long
4,2,0,0,2,0,0,0,0,0,6.1610000000000005,long
4,2,0,2,1,0,0,0,0,0,29.711,cut
2,1,0,2,1,0,0,0,0,0,0.0,error
2,1,0,2,1,0,0,0,0,0,10.597000000000001,error
2,1,0,0,3,0,0,0,0,0,9.283999999999999,error
4,3,0,0,2,0,0,0,0,0,7.4639999999999995,long
4,2,0,0,2,0,0,0,0,0,52.291000000000004,smash
4,2,0,2,1,0,0,0,0,0,4.455,netplay
2,1,0,4,1,0,0,0,0,0,14.504000000000001,netplay
0,1,0,2,1,0,0,0,0,0,14.630999999999998,netplay
2,1,0,1,1,0,0,0,0,0,0.0,error
3,2,0,1,2,0,0,0,0,0,7.296,long
3,2,0,1,1,0,0,0,0,0,27.361,smash
3,1,0,1,1,0,0,0,0,0,10.895999999999999,netplay
3,1,0,4,1,0,0,0,0,0,4.034,lob
0,1,0,1,1,0,0,0,0,0,5.949,cut
3,1,0,1,2,0,0,0,0,0,17.11,netplay
3,2,0,1,2,0,0,0,0,0,10.183,lob
3,2,0,0,1,0,0,0,0,0,53.215,smash
4,1,0,1,2,0,0,0,0,0,9.093,netplay
3,2,0,0,1,0,0,0,0,0,3.863,netplay
4,1,0,2,1,0,0,0,0,0,19.105999999999998,lob
2,1,0,1,1,0,0,0,0,0,0.0,long
3,1,0,1,1,0,0,0,0,0,3.217,long
3,2,0,2,2,0,0,0,0,0,17.734,netplay
2,2,0,1,1,0,0,0,0,0,5.888999999999999,lob
3,1,0,1,1,0,0,0,0,0,8.205,error
3,1,0,1,1,0,0,0,0,0,19.750999999999998,error
3,1,0,2,2,0,0,0,0,0,0.499,netplay
2,2,0,2,1,0,0,0,0,0,0.627,long
2,1,0,1,1,0,0,0,0,0,0.0,lob
3,1,0,2,2,0,0,0,0,0,7.907,long
2,2,0,1,2,0,0,0,0,0,37.249,smash
3,2,0,3,4,0,0,0,0,0,9.314,netplay
1,1,0,0,2,0,0,0,0,0,4.737,netplay
4,2,0,0,1,0,0,0,0,0,0.0,lob
4,1,0,0,2,0,0,0,0,0,7.739,netplay
4,2,0,1,1,0,0,0,0,0,7.292000000000001,lob
3,1,0,1,1,0,0,0,0,0,6.761,cut
3,1,0,2,1,0,0,0,0,0,3.156,netplay
2,1,0,1,1,0,0,0,0,0,4.298,netplay
3,1,0,1,2,0,0,0,0,0,9.715,lob
3,2,0,1,1,0,0,0,0,0,8.472999999999999,error
3,1,0,1,1,0,0,0,0,0,6.6579999999999995,netplay
3,1,0,1,1,0,0,0,0,0,11.47,netplay
2,2,0,2,1,0,0,0,0,0,13.259,lob
2,1,0,1,1,0,0,0,0,0,7.565,long
3,1,0,1,3,0,0,0,0,0,7.562,cut
3,3,0,1,2,0,0,0,0,0,8.146,rush
3,2,0,1,1,0,0,0,0,0,0.0,error
