hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,ball_type
3,2,0,0,2,0,0,0,0,0,2.247,unknown
4,2,0,0,2,0,0,0,0,0,2.068,unknown
4,2,0,0,2,0,0,0,0,0,2.905,unknown
4,2,0,0,2,0,0,0,0,0,0.33,unknown
4,2,0,0,2,0,0,0,0,0,1.875,unknown
4,2,0,0,2,0,0,0,0,0,0.42,unknown
4,2,0,0,2,0,0,0,0,0,0.35600000000000004,unknown
4,2,0,0,2,0,0,0,0,0,2.075,unknown
4,2,0,0,2,0,0,0,0,0,3.253,unknown
4,2,0,0,2,0,0,0,0,0,0.91,unknown
4,2,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,2,2,0,0,0,0,0,0.0,unknown
2,2,0,2,2,0,0,0,0,0,8.74,unknown
2,2,0,0,2,0,0,0,0,0,21.421999999999997,unknown
4,2,0,0,2,0,0,0,0,0,8.381,unknown
4,2,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,0,2,0,0,0,0,0,0.385,unknown
4,2,0,0,2,0,0,0,0,0,1.028,unknown
4,2,0,0,2,0,0,0,0,0,0.7390000000000001,unknown
4,2,0,0,2,0,0,0,0,0,2.344,unknown
2,2,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,2,2,0,0,0,0,0,0.0,unknown
2,2,0,2,2,0,0,0,0,0,15.029000000000002,unknown
2,2,0,0,2,0,0,0,0,0,9.017000000000001,unknown
4,2,0,0,2,0,0,0,0,0,8.775,unknown
4,2,0,0,2,0,0,0,0,0,14.957,unknown
4,2,0,0,2,0,0,0,0,0,4.716,unknown
4,2,0,0,2,0,0,0,0,0,0.462,unknown
4,2,0,0,2,0,0,0,0,0,6.739,unknown
4,2,0,0,2,0,0,0,0,0,0.654,unknown
4,2,0,0,2,0,0,0,0,0,1.85,unknown
4,2,0,0,2,0,0,0,0,0,1.329,unknown
4,2,0,2,2,0,0,0,0,0,0.252,unknown
2,2,0,0,2,0,0,0,0,0,2.312,unknown
4,2,0,0,2,0,0,0,0,0,14.87,unknown
4,2,0,0,2,0,0,0,0,0,17.430999999999997,unknown
4,2,0,0,2,0,0,0,0,0,0.0,unknown
