hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
3,2,2,3,4,1,3,2,2,2,16.135,long
2,4,1,3,3,1,3,3,3,3,41.526,long
2,3,1,2,2,2,3,2,2,4,54.365,cut
3,2,2,2,2,2,2,2,2,3,21.37,netplay
3,2,2,3,3,1,3,2,3,2,31.778,lob
2,3,1,3,3,1,3,3,3,3,38.377,long
2,3,1,2,2,2,3,2,2,4,67.933,smash
3,2,2,3,1,2,2,2,2,3,18.438,netplay
2,1,2,3,1,2,2,2,2,2,15.799,netplay
2,1,2,2,1,2,3,1,3,2,6.565,netplay
3,1,2,2,3,1,3,1,3,1,13.922,lob
3,3,1,3,2,2,3,2,2,3,85.385,smash
2,2,2,2,1,2,2,3,2,3,17.169,netplay
3,1,2,3,3,1,2,1,2,3,20.666,lob
2,3,1,2,4,1,2,2,2,4,35.78,long
3,4,1,3,2,2,2,3,2,3,38.938,cut
2,2,2,3,1,2,2,2,2,2,18.641,netplay
2,1,2,2,4,0,3,1,3,3,19.024,lob
3,2,2,2,4,1,2,2,3,3,16.275,long
3,4,1,2,2,2,3,2,3,4,41.142,cut
3,2,2,3,3,1,2,2,2,3,22.401,lob
2,3,1,2,2,1,2,2,2,3,52.915,cut
3,2,1,2,5,0,2,2,2,3,16.36,rush
3,2,2,3,4,1,3,2,2,3,15.306,long
2,4,1,3,2,2,2,2,2,4,43.09,cut
2,2,2,2,3,1,3,2,3,3,27.047,lob
3,3,1,3,2,2,3,2,3,3,84.483,smash
2,2,2,3,1,2,3,2,3,3,29.722,netplay
2,1,2,4,5,0,3,2,2,2,21.757,lob
3,2,2,2,4,1,2,2,3,3,15.57,long
3,4,1,3,1,2,3,4,2,5,35.944,cut
2,1,2,3,1,2,3,2,3,3,12.636,netplay
2,1,2,2,4,1,3,2,2,1,12.405,lob
3,4,1,2,2,2,2,2,2,3,85.408,smash
3,2,2,3,1,2,2,2,3,3,17.227,netplay
2,1,2,3,3,1,3,1,3,2,26.423,lob
2,3,1,2,3,1,2,2,2,4,12.664,long
3,4,1,3,2,2,2,4,2,3,44.83,cut
2,2,2,2,2,1,2,2,2,2,26.993,netplay
3,2,1,2,2,1,3,2,2,3,47.648,drive
3,2,1,3,2,1,3,2,3,2,80.352,drive
2,2,1,2,1,2,3,2,3,2,19.949,netplay
3,1,2,2,1,2,2,2,3,2,11.228,netplay
3,1,2,3,3,1,2,1,2,2,20.593,lob
2,3,1,2,2,2,2,2,2,4,57.028,cut
3,2,2,3,1,2,2,2,2,3,18.651,netplay
2,1,2,3,4,1,2,2,2,2,26.084,lob
2,4,1,3,1,2,2,2,3,3,30.305,cut
2,1,2,2,1,2,3,3,2,2,9.463,netplay
