Real,Predict
4,2
2,4
0,4
4,4
4,4
2,2
0,0
4,4
4,4
2,2
3,0
0,4
5,4
4,2
4,4
2,2
6,6
4,4
2,2
6,0
4,4
5,4
2,4
0,4
4,2
4,4
2,2
0,6
4,4
2,2
3,0
0,4
4,4
2,2
6,0
4,4
2,2
3,3
0,0
2,2
0,4
4,4
4,2
5,4
4,2
4,2
4,4
4,4
2,2
6,4
4,4
4,4
2,2
4,2
3,3
6,0
4,4
4,4
2,4
3,3
6,6
4,4
2,2
6,2
4,0
2,2
0,4
4,4
4,4
4,4
2,2
3,0
0,4
4,4
3,3
6,0
4,0
2,2
6,6
4,4
4,4
2,2
6,6
3,3
0,4
4,4
2,2
6,0
4,0
2,2
0,6
2,2
6,4
2,2
6,0
4,2
3,2
6,0
4,4
4,4
4,4
2,2
6,6
4,4
2,2
6,6
4,4
2,2
3,3
6,0
2,4
6,4
4,4
2,2
0,3
4,4
2,0
0,4
2,4
0,4
4,4
4,4
4,4
4,4
2,4
6,4
4,4
4,4
4,4
2,4
3,4
6,4
4,2
2,4
0,0
2,2
0,2
3,2
6,3
4,4
4,4
2,2
3,4
6,2
2,6
6,4
4,0
2,2
1,4
3,4
3,2
6,2
4,6
4,4
2,2
3,2
0,4
4,4
2,4
0,4
2,3
6,3
4,0
1,4
1,4
4,0
2,4
0,4
4,2
2,2
0,4
4,4
4,2
4,4
5,4
3,2
0,2
2,2
1,3
1,0
4,4
4,2
