rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
1,1,00:25:03.100000,45093,B,1.0,發小球,,1.0,A2,243,279,2,,,0,0,,B1,330.0,523.0,2.0,0.0,368,990,369,954,454.0,890.0,331.0,193.0,60.0,40.0,40.0,30.0,1.5,214.0,214.00525694477693,24.0,189.25,190.76572674356368,1.6155088981494345,36.013886210738214,0,0,0,1,1,0,0,0
1,2,00:25:03.900000,45117,A,,挑球,,,B1,330,523,2,,,0,0,,B3,87.0,39.0,1.0,1000.0,454,890,331,193,374.0,134.0,273.0,197.0,10.0,60.0,0.0,10.0,59.75,56.49999999999999,82.23328097552718,40.0,72.25,82.58366969322688,0.2019715326475491,707.7697365669148,1,0,0,0,0,1,0,0
1,3,00:25:04.900000,45147,B,,殺球,,,B3,87,39,1,,,0,0,,C2,78.0,792.0,2.0,1000.0,374,134,273,197,215.0,1116.0,171.0,-96.0,40.0,20.0,50.0,60.0,31.5,225.49999999999997,227.6894815313171,11.25,231.5,231.77319193556445,0.917990332193101,119.03780911962384,0,1,0,0,1,0,0,0
1,4,00:25:05.300000,45159,A,,擋小球,,1.0,C2,78,792,2,,,0,0,,B2,32.0,282.0,2.0,1000.0,215,1116,171,-96,248.0,1036.0,228.0,1123.0,60.0,60.0,60.0,10.0,19.0,46.0,49.76946855251722,58.99999999999999,90.25,107.82422037742727,0.014348407577149457,1212.7984168855103,1,0,0,0,0,0,0,1
1,5,00:25:06.500000,45195,B,,未擊球,,,B2,32,282,2,落地,回球質量佳,1,0,A,,,,,24000.0,248,1036,228,1123,291.0,932.0,407.0,265.0,20.0,60.0,50.0,0.0,15.5,23.499999999999996,28.151376520518493,13.75,40.0,42.29731078922158,0.011186062756841659,89.26925562588724,0,0,0,1,1,0,0,0
2,1,00:25:30.400000,45912,A,1.0,發小球,,1.0,A1,163,618,2,,,1,0,,A1,287.0,339.0,2.0,1000.0,291,932,407,265,310.0,942.0,283.0,963.0,20.0,90.0,70.0,20.0,17.0,22.25,28.001116049186326,20.75,17.0,26.824662160034745,0.07622663576467219,677.0118167358676,1,0,0,0,0,0,0,1
2,2,00:25:31,45930,B,,挑球,,1.0,A1,287,339,2,,,1,0,,C2,77.0,860.0,1.0,1000.0,310,942,283,963,223.0,1021.0,324.0,197.0,90.0,50.0,20.0,0.0,32.75,61.25,69.45592127385541,49.5,62.5,79.72766144820754,0.5943618426514273,34.20526275297414,0,0,0,1,1,0,0,0
2,3,00:25:32,45960,A,,殺球,1.0,,C2,77,860,1,,,1,0,,C2,323.0,178.0,2.0,0.0,223,1021,324,197,179.0,1187.0,85.0,1213.0,40.0,60.0,30.0,70.0,43.5,26.0,50.67790445549224,25.75,0.75,25.7609200146268,0.29694780686174466,830.1668506993037,1,0,0,0,0,0,0,1
2,4,00:25:32.500000,45975,B,,擋小球,,1.0,C2,323,178,2,,,1,0,,B1,335.0,530.0,2.0,1000.0,179,1187,85,1213,397.0,917.0,427.0,194.0,40.0,60.0,10.0,70.0,53.5,66.0,84.96028483944718,70.25,58.25,91.2585612422199,0.3507256762770584,97.52948272189288,0,0,0,1,1,0,0,0
2,5,00:25:33.600000,46008,A,,放小球,,,B1,335,530,2,,,1,0,,C1,367.0,427.0,2.0,1000.0,397,917,427,194,393.0,923.0,366.0,980.0,0.0,10.0,30.0,90.0,15.0,37.25,40.15672421898977,6.75,29.749999999999996,30.506146921563197,0.02229910312097776,723.6221389648053,1,0,0,0,0,0,0,1
