Real,Predict
4,4
4,4
4,4
4,4
5,4
4,4
2,2
0,4
4,4
2,0
3,0
3,2
0,0
4,4
4,4
4,2
1,2
4,4
4,4
2,4
4,4
4,4
2,2
0,0
4,4
4,4
0,4
4,4
4,4
2,2
0,4
4,4
2,2
4,4
2,2
6,6
4,2
4,4
2,4
3,2
0,4
4,4
4,4
2,2
3,2
0,4
4,4
4,4
2,4
3,2
4,4
2,4
6,2
4,4
4,4
2,2
0,0
4,4
4,4
4,4
2,2
0,0
2,4
0,0
2,3
3,0
6,6
4,4
4,4
4,5
4,4
4,4
4,4
4,4
2,4
6,5
4,4
4,4
2,2
6,0
4,4
4,4
2,2
0,0
4,4
4,4
4,4
4,4
5,4
4,4
2,2
3,6
0,0
4,4
2,3
4,4
2,2
0,2
4,4
4,4
2,4
3,2
0,0
4,4
2,4
3,4
0,0
4,4
2,5
3,4
0,6
4,4
4,2
2,4
6,6
4,4
4,4
4,4
2,4
3,2
6,4
4,2
4,4
4,4
2,2
0,4
4,4
4,4
4,4
2,4
6,5
4,2
4,4
5,4
2,2
0,4
2,4
3,2
0,0
4,4
4,4
2,2
6,0
4,4
4,4
2,4
3,2
0,4
2,2
4,6
2,4
0,4
4,4
4,4
2,2
6,0
4,4
4,4
4,4
2,2
6,0
2,4
3,2
3,2
3,3
3,2
0,0
4,4
4,4
4,4
4,4
2,2
0,6
4,4
4,4
4,4
2,2
6,0
4,4
2,0
3,2
3,2
6,4
4,4
4,4
2,2
0,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
2,2
6,5
4,2
4,4
2,2
4,6
4,4
2,4
6,6
4,2
4,4
4,4
2,4
6,6
4,4
2,2
6,0
4,4
4,4
2,4
6,0
4,4
2,4
6,0
4,4
4,4
2,2
3,6
3,2
0,6
5,0
2,2
6,0
4,2
4,4
2,2
4,6
4,4
4,4
4,2
5,2
1,0
4,4
2,2
6,6
4,4
4,4
5,4
2,2
6,0
4,4
4,4
4,4
2,2
6,6
4,4
4,4
4,4
4,4
2,2
6,6
4,4
4,4
4,4
5,6
2,4
4,4
4,4
4,4
2,2
6,6
2,5
1,0
0,4
2,2
0,0
4,4
4,4
5,2
4,6
4,4
2,2
1,6
6,6
4,4
2,2
0,4
4,4
2,2
0,0
4,4
2,4
0,4
4,4
2,2
6,6
4,0
5,4
4,4
4,4
4,4
2,2
3,2
6,0
4,4
5,4
1,2
4,4
4,4
2,2
3,0
3,0
6,4
4,4
4,4
4,4
2,2
6,0
4,4
4,4
4,4
4,4
2,2
0,0
4,4
2,2
6,0
4,4
4,4
2,4
6,6
4,4
5,4
4,4
4,4
4,4
4,2
4,4
4,4
2,4
3,2
6,6
4,4
4,4
2,4
6,6
4,4
3,2
6,0
4,4
4,4
4,4
2,2
6,6
4,4
2,2
6,6
4,4
4,4
4,4
4,4
4,4
2,2
0,0
4,4
2,4
0,4
4,4
2,2
6,0
4,2
2,2
6,6
4,4
4,4
4,4
2,2
6,0
4,4
5,4
4,2
4,4
4,4
2,2
0,6
4,4
2,2
6,0
4,4
2,4
