rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height
1,1,00:51:39.333000,92980,A,1.0,發小球,,1.0,A2,209,266,2.0,,,0,0,,A1,254.0,559.0,2.0
1,2,00:51:40.133000,93004,B,,放小球,,,A1,254,559,2.0,,,0,0,,A1,224.0,374.0,2.0
1,3,00:51:40.967000,93029,A,,放小球,,,A1,224,374,2.0,,,0,0,,B1,318.0,496.0,2.0
1,4,00:51:41.633000,93049,B,,放小球,,,B1,318,496,2.0,,,0,0,,C1,326.0,448.0,1.0
1,5,00:51:42.100000,93063,A,,撲球,,1.0,C1,326,448,1.0,,,0,0,,A2,156.0,850.0,2.0
1,6,00:51:42.700000,93081,B,,未擊球,,,A2,156,850,2.0,落地,小球被抓,1,0,A,,,,
2,1,00:51:57.633000,93529,A,1.0,發小球,,1.0,A2,229,287,2.0,,,1,0,,A1,153.0,591.0,2.0
2,2,00:51:58.367000,93551,B,,挑球,,,A1,153,591,2.0,,,1,0,,B3,79.0,64.0,1.0
2,3,00:51:59.567000,93587,A,,切球,,,B3,79,64,1.0,,,1,0,,A1,288.0,625.0,2.0
2,4,00:52:00.467000,93614,B,,放小球,,,A1,288,625,2.0,,,1,0,,A1,303.0,357.0,2.0
2,5,00:52:01.433000,93643,A,,挑球,,1.0,A1,303,357,2.0,,,1,0,,A3,287.0,870.0,1.0
2,6,00:52:02.600000,93678,B,,長球,,,A3,287,870,1.0,,,1,0,,C3,321.0,57.0,1.0
2,7,00:52:03.767000,93713,A,,長球,1.0,,C3,321,57,1.0,,,1,0,,A2,306.0,841.0,1.0
2,8,00:52:04.767000,93743,B,,切球,,,A2,306,841,1.0,,,1,0,,D2,17.0,181.0,2.0
2,9,00:52:05.633000,93769,A,,未擊球,,,D2,17,181,2.0,出界,對手失誤,2,0,A,,,,
3,1,00:52:18.667000,94160,A,1.0,發小球,,1.0,A2,224,260,2.0,,,2,0,,A1,249.0,579.0,2.0
3,2,00:52:19.433000,94183,B,,放小球,,,A1,249,579,2.0,,,2,0,,A1,163.0,406.0,1.0
3,3,00:52:20,94200,A,,撲球,,,A1,163,406,1.0,,,2,0,,A2,181.0,689.0,2.0
3,4,00:52:20.333000,94210,B,,擋小球,,,A2,181,689,2.0,,,2,0,,A2,156.0,280.0,1.0
3,5,00:52:20.700000,94221,A,,平球,,,A2,156,280,1.0,,,2,0,,A2,134.0,661.0,1.0
3,6,00:52:21.300000,94239,B,,擋小球,,1.0,A2,134,661,1.0,,,2,0,,B1,84.0,312.0,2.0
3,7,00:52:22.267000,94268,A,,放小球,,,B1,84,312,2.0,,,2,0,,C1,86.0,496.0,2.0
3,8,00:52:23.167000,94295,B,,挑球,,1.0,C1,86,496,2.0,,,2,0,,B3,41.0,10.0,2.0
3,9,00:52:24.700000,94341,A,,未擊球,,,B3,41,10,2.0,落地,對手判斷失誤,2,1,B,,,,
4,1,00:52:51.467000,95144,B,1.0,發小球,,1.0,A2,165,638,2.0,,,2,1,,A1,212.0,335.0,2.0
4,2,00:52:52.100000,95163,A,,放小球,,,A1,212,335,2.0,,,2,1,,A1,205.0,557.0,2.0
4,3,00:52:52.800000,95184,B,,挑球,,,A1,205,557,2.0,,,2,1,,B3,84.0,61.0,2.0
4,4,00:52:54,95220,A,,過渡切球,,,B3,84,61,2.0,,,2,1,,C2,91.0,701.0,2.0
4,5,00:52:54.500000,95235,B,,擋小球,,1.0,C2,91,701,2.0,,,2,1,,A2,170.0,283.0,2.0
4,6,00:52:55.200000,95256,A,,放小球,,,A2,170,283,2.0,,,2,1,,A1,294.0,562.0,
4,7,00:52:55.933000,95278,B,,挑球,,,A1,294,562,,,,2,1,,A2,126.0,114.0,1.0
4,8,00:52:56.633000,95299,A,,切球,,,A2,126,114,1.0,,,2,1,,C1,57.0,595.0,2.0
4,9,00:52:57.533000,95326,B,,放小球,,1.0,C1,57,595,2.0,,,2,1,,B1,44.0,465.0,2.0
4,10,00:52:58.133000,95344,B,,未過網,,,B1,44,465,2.0,未回擊成功,前一球質量佳,3,1,A,,,,
5,1,00:53:11.333000,95740,A,1.0,發小球,,1.0,A2,228,284,2.0,,,3,1,,A1,155.0,568.0,2.0
