Real,Predict
4,4
2,4
0,4
4,4
4,4
2,4
0,4
4,4
4,4
2,4
3,4
0,4
5,4
4,4
4,4
2,4
6,4
4,4
2,4
6,4
4,4
5,4
2,4
0,4
4,4
4,4
2,4
0,4
4,4
2,4
3,4
0,4
4,4
2,4
6,4
4,4
2,4
3,4
0,4
2,4
0,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
2,4
6,4
4,4
4,4
2,4
4,4
3,4
6,4
4,4
4,4
2,4
3,4
6,4
4,4
2,4
6,4
4,4
2,4
0,4
4,4
4,4
4,4
2,4
3,4
0,4
4,4
3,4
6,4
4,4
2,4
6,4
4,4
4,4
2,4
6,4
3,4
0,4
4,4
2,4
6,4
4,4
2,4
0,4
2,4
6,4
2,4
6,4
4,4
3,4
6,4
4,4
4,4
4,4
2,4
6,4
4,4
2,4
6,4
4,4
2,4
3,4
6,4
2,4
6,4
4,4
2,4
0,4
4,4
2,4
0,4
2,4
0,4
4,4
4,4
4,4
4,4
2,4
6,4
4,4
4,4
4,4
2,4
3,4
6,4
4,4
2,4
0,4
2,4
0,4
3,4
6,4
4,4
4,4
2,4
3,4
6,4
2,4
6,4
4,4
2,4
1,4
3,4
3,4
6,4
4,4
4,4
2,4
3,4
0,4
4,4
2,4
0,4
2,4
6,4
4,4
1,4
1,4
4,4
2,4
0,4
4,4
2,4
0,4
4,4
4,4
4,4
5,4
3,4
0,4
2,4
1,4
1,4
4,4
4,4
