frame,top_x,top_y,bot_x,bot_y
7499,263,49,313,895
7500,258,104,312,895
7501,262,131,314,865
7502,260,111,314,869
7503,257,125,314,887
7504,244,70,315,887
7505,246,7,309,882
7506,261,84,314,882
7507,225,70,316,916
7508,258,91,309,895
7509,219,91,314,882
7510,255,118,307,899
7511,205,84,308,895
7512,250,35,306,899
7513,236,35,312,895
7514,229,-21,305,899
7515,217,84,306,874
7516,219,0,304,895
7517,220,14,306,874
7518,197,14,306,874
7519,186,14,304,878
7520,183,21,303,899
7521,215,14,303,903
7522,177,-28,303,920
7523,170,-36,303,924
7524,171,7,303,924
7525,180,7,302,928
7526,178,7,302,924
7527,174,-43,299,924
7528,177,7,299,932
7529,177,14,299,928
7530,174,-7,304,928
7531,174,-7,303,924
7532,194,-14,300,928
7533,171,-14,299,924
7534,181,-14,299,924
7535,172,-7,298,948
7536,176,-14,298,944
7537,174,-7,305,948
7538,172,-7,303,948
7539,174,-7,302,948
7540,173,-50,302,924
7541,174,-58,301,928
7542,175,-7,300,928
7543,177,-14,300,928
7544,178,-28,301,928
7545,176,-36,300,928
7546,168,-28,300,932
7547,170,-36,301,972
7548,168,-95,302,940
7549,177,-103,302,940
7550,180,-58,302,940
7551,180,-21,301,940
7552,184,-58,302,940
7553,184,-50,304,936
7554,184,-58,298,961
7555,196,-80,300,956
7556,200,-88,296,956
7557,201,-50,298,936
7558,206,-43,301,965
7559,214,-73,301,961
7560,217,-88,302,965
7561,202,-95,299,969
7562,202,-95,299,965
7563,202,-95,300,940
7564,202,-95,300,940
7565,206,-95,299,969
7566,204,-80,300,969
7567,209,-73,301,965
7568,206,-80,303,1004
7569,211,-65,303,1008
7570,210,-28,305,1016
7571,209,-80,312,1016
7572,215,-95,312,984
7573,212,-103,312,988
7574,215,-65,315,1019
7575,226,-149,315,1004
7576,234,-95,314,1023
7577,232,-141,314,1023
7578,244,-133,317,1027
7579,255,-65,317,1065
7580,264,-110,315,1035
7581,275,-21,315,1019
7582,282,-110,321,1046
7583,259,-73,306,1031
7584,261,-103,307,992
7585,295,-58,311,1039
7586,302,-65,315,1031
7587,297,-103,314,1046
7588,302,-73,311,1023
7589,305,-80,316,1054
7590,295,-36,313,1027
7591,302,-80,316,1050
7592,288,-65,309,1046
7593,290,-50,316,1046
7594,281,-95,314,1046
7595,282,-73,314,1050
7596,287,-118,304,1019
7597,287,-126,304,1008
7598,292,-43,299,1012
7599,281,-36,302,1023
7600,284,-103,296,1065
7601,290,-103,292,1061
7602,290,-110,285,1057
7603,290,-36,281,1094
7604,281,-28,274,1105
7605,283,-36,274,1105
7606,284,-28,278,1109
7607,282,-65,276,1098
7608,285,-50,276,1098
7609,275,7,275,1102
7610,292,14,274,1102
7611,293,-36,274,1094
7612,290,-80,273,1116
7613,291,-95,235,1087
7614,285,-95,230,1087
7615,285,-103,227,1083
