rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,hitting_area_number,landing_area_number,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed
1,1.0,00:05:44.080,8602,A,1.0,發長球,,,B2,245,662,2.0,,,0,0,,B4,69.0,12.0,1.0,2,4,193,91,308,899,97,-196,141,-141,40.0,30.0,30.0,0.0,24.0,71.75,75.65753432408434,41.75,260.0,263.3307093751126,2.5211329023102116
1,2.0,00:05:46.360,8659,B,,長球,,,B4,69,12,1.0,,,0,0,,A4,88.0,914.0,1.0,4,3,97,-196,141,-141,234,70,112,1031,70.0,60.0,10.0,20.0,34.25,66.5,74.8018215018859,7.249999999999999,293.0,293.08968337353673,3.1462564811887344
1,3.0,00:05:47.640,8691,A,,長球,1.0,,A4,88,914,1.0,,,0,0,,A4,266.0,30.0,1.0,3,4,234,70,112,1031,377,-80,435,-118,30.0,0.0,30.0,10.0,35.75,37.5,51.81035128234511,80.75,287.25,298.3841902648329,3.5002989510511933
1,4.0,00:05:48.920,8723,B,,長球,1.0,,A4,266,30,1.0,,,0,0,,B4,340.0,895.0,1.0,4,3,377,-80,435,-118,326,49,371,1134,90.0,90.0,60.0,20.0,12.75,32.25,34.67888406509068,16.0,313.0,313.40867888429636,1.4398400543065664
1,5.0,00:05:50.120,8753,A,,切球,,,B4,340,895,1.0,,,0,0,,B1,93.0,345.0,2.0,3,1,326,49,371,1134,164,369,274,216,80.0,0.0,30.0,20.0,40.5,80.0,89.66744113668014,24.25,229.5,230.77762564858836,12.030444713309645
1,6.0,00:05:51.160,8779,B,,挑球,,,B1,93,345,2.0,,,0,0,,A4,116.0,905.0,1.0,1,2,164,369,274,216,241,97,128,1042,70.0,80.0,40.0,60.0,19.25,68.0,70.6722187284367,36.5,206.5,209.70097758475043,2.2331215820013024
1,7.0,00:05:52.400,8810,A,,長球,1.0,,A4,116,905,1.0,,,0,0,,A4,316.0,37.0,1.0,2,4,241,97,128,1042,406,-7,472,-180,50.0,60.0,40.0,80.0,41.25,26.0,48.76025533157102,86.0,305.5,317.37399074278284,22.644778647626477
1,8.0,00:05:53.440,8836,B,,切球,1.0,,A4,316,37,1.0,,,0,0,,B1,351.0,582.0,2.0,4,3,406,-7,472,-180,401,14,423,944,50.0,10.0,10.0,40.0,1.25,5.25,5.3967582862307255,12.25,281.0,281.26688838183566,36.795908588984304
1,9.0,00:05:54.400,8860,A,,挑球,,,B1,351,582,2.0,,,0,0,,B3,91.0,63.0,1.0,3,4,401,14,423,944,198,-50,199,-65,70.0,60.0,60.0,10.0,50.74999999999999,16.0,53.2124280596178,56.00000000000001,252.25,258.3912972605695,94.52333045338595
1,10.0,00:05:55.400,8885,B,,殺球,,,B3,91,63,1.0,,,0,0,,B3,333.0,773.0,2.0,4,4,198,-50,199,-65,116,-103,235,952,80.0,70.0,60.0,70.0,20.5,13.25,24.409270779767265,9.0,254.25,254.40924216702507,3.574432912325925
1,11.0,00:05:56.120,8903,A,,未擊球,,,B3,333,773,,落地,對方未擊球,0,1,B,,,,,4,2,116,-103,235,952,320,229,330,229,40.0,20.0,50.0,70.0,51.0,83.0,97.41663102366043,23.75,180.75,182.30366151012984,1.399685712981615
2,1.0,00:06:09.280,9232,B,1.0,發長球,,,B2,190,254,2.0,,,0,1,,A4,179.0,923.0,1.0,2,2,320,229,330,229,261,125,203,1158,10.0,60.0,30.0,90.0,14.749999999999998,26.0,29.89251578572804,31.75,232.24999999999997,234.41016402878097,8.277976805959291
2,2.0,00:06:11.360,9284,A,,殺球,,,A4,179,923,1.0,,,0,1,,B2,86.0,216.0,2.0,2,2,261,125,203,1158,174,118,301,14,30.0,30.0,80.0,60.0,21.75,1.7500000000000002,21.820288724029297,24.5,286.0,287.0474699418199,2.186640786456267
2,3.0,00:06:11.880,9297,B,,擋小球,,,B2,86,216,2.0,,,0,1,,B1,305.0,598.0,2.0,2,3,174,118,301,14,260,70,333,932,60.0,20.0,20.0,80.0,21.5,12.0,24.62214450449026,8.0,229.5,229.6393912202347,87.16742510823639
2,4.0,00:06:12.880,9322,A,,挑球,,,B1,305,598,2.0,,,0,1,,A3,340.0,72.0,2.0,3,4,260,70,333,932,427,-14,344,42,70.0,60.0,10.0,0.0,41.75,21.0,46.73395446567731,2.75,222.5,222.516993733063,9.121755300000457
2,5.0,00:06:13.960,9349,B,,過渡切球,,1.0,A3,340,72,2.0,,,0,1,,B1,336.0,495.0,2.0,4,3,427,-14,344,42,365,49,425,848,80.0,30.0,10.0,60.0,15.5,15.75,22.09779400754745,20.25,201.5,202.5149685825717,2.752751460551157
2,6.0,00:06:14.680,9367,A,,放小球,,,B1,336,495,2.0,,,0,1,,B1,105.0,363.0,2.0,3,1,365,49,425,848,173,357,252,210,80.0,80.0,70.0,20.0,48.0,77.0,90.7358804442873,43.25,159.5,165.25983329290878,3.0049683377273384
2,7.0,00:06:15.560,9389,B,,挑球,,,B1,105,363,2.0,,,0,1,,A4,74.0,905.0,1.0,1,2,173,357,252,210,205,164,91,1069,20.0,70.0,90.0,90.0,8.0,48.25,48.908715992141936,40.25,214.75,218.4894162196421,2.055691554828944
2,8.0,00:06:16.880,9422,A,,長球,1.0,,A4,74,905,1.0,,,0,1,,B4,78.0,24.0,1.0,2,4,205,164,91,1069,120,-50,183,7,50.0,60.0,20.0,80.0,21.25,53.5,57.56572330823265,23.0,265.5,266.4943714227376,84.80288910172814
2,9.0,00:06:17.880,9447,B,,長球,,,B4,78,24,1.0,,,0,1,,A4,74.0,905.0,1.0,4,2,120,-50,183,7,232,111,93,1042,20.0,10.0,0.0,50.0,28.000000000000004,40.25,49.03124004142665,22.5,258.75,259.7264185638419,1.0661912732023953
2,10.0,00:06:19.040,9476,A,,長球,1.0,,A4,74,905,1.0,,,0,1,,B4,88.0,25.0,1.0,2,,232,111,93,1042,,,,,50.0,20.0,0.0,20.0,13.75,7.000000000000001,15.42927412420947,5.0,179.5,179.5696243800716,0.0
2,11.0,00:06:20.600,9515,B,,長球,,,B4,88,25,1.0,,,0,1,,A5,48.0,-58.0,2.0,,,,,,,,,,,30.0,30.0,70.0,40.0,24.25,15.75,28.915826116505823,5.75,241.0,241.06858463930965,0.0
2,12.0,00:06:21.880,9547,A,,未擊球,,,A5,48,-58,,出界,對方出界,1,1,A,,,,,,,,,,,,,,,20.0,40.0,60.0,10.0,4.5,3.5000000000000004,5.70087712549569,14.000000000000002,222.25,222.6905083293852,0.0
3,1.0,00:06:34.640,9866,A,1.0,發長球,,,B2,226,694,2.0,,,1,1,,A4,335.0,3.0,2.0,,,,,,,,,,,70.0,60.0,50.0,50.0,26.75,31.5,41.32568813704135,48.75,263.75,268.21749570078384,0.0
