rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
1.0,1.0,00:26:10.120,39253.0,A,1.0,發長球,,,B2,170.0,239.0,2.0,,,0,0,,B4,319.0,886.0,1.0,2280.0,276,171,293,235,285,145,404,1182,90.0,40.0,10.0,70.0,2.25,6.5,6.878408246098802,27.750000000000004,236.75,238.37077211772416,0.20368085302550332,66.21933252457322,2,2
1.0,2.0,00:26:12.400,39310.0,B,,長球,,,B4,319.0,886.0,1.0,,,0,0,,B4,57.0,51.0,2.0,1240.0,285,145,404,1182,126,-14,153,-73,10.0,10.0,90.0,50.0,39.75,39.75,56.21498910433053,62.74999999999999,313.75,319.9634744779473,0.5936458983716522,1043.805537444595,2,4
1.0,3.0,00:26:13.640,39341.0,A,,過渡切球,,,B4,57.0,51.0,2.0,,,0,0,,A1,106.0,509.0,2.0,960.0,126,-14,153,-73,221,49,208,903,50.0,30.0,50.0,60.0,23.75,15.75,28.49780693316593,13.75,244.0,244.38711606793024,0.5467561874903912,64.88451279003334,4,1
1.0,4.0,00:26:14.600,39365.0,B,,放小球,,1.0,A1,106.0,509.0,2.0,,,0,0,,B1,95.0,440.0,2.0,920.0,221,49,208,903,181,291,194,254,0.0,20.0,60.0,10.0,10.0,60.5,61.320877358367916,3.5000000000000004,162.25,162.28774599457594,0.2231340660604583,854.0989404044475,1,2
1.0,5.0,00:26:15.520,39388.0,A,,挑球,,,B1,95.0,440.0,2.0,,,0,0,,A4,117.0,887.0,1.0,1960.0,181,291,194,254,248,91,121,1155,70.0,0.0,70.0,10.0,16.75,50.0,52.731039246349006,18.25,225.25,225.98810809420925,0.17883308090131533,39.21734310225516,2,1
1.0,6.0,00:26:17.480,39437.0,B,,殺球,1.0,,A4,117.0,887.0,1.0,,,0,0,,A2,387.0,237.0,2.0,720.0,248,91,121,1155,433,297,338,203,50.0,60.0,70.0,80.0,46.25,51.5,69.21930727766639,54.25,237.99999999999997,244.1046138441467,0.5884858421574415,1071.5526118674716,1,2
1.0,7.0,00:26:18.200,39455.0,A,,未擊球,,,A2,387.0,237.0,2.0,落地,殺球精準,0,1,B,,,,,,433,297,338,203,,,,,90.0,90.0,30.0,20.0,32.25,17.75,36.81202249265856,15.75,269.5,269.9598349755015,,133.64505228402584,2,
,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,0.0,30.0,60.0,70.0,0.0,1.7500000000000002,1.7500000000000002,33.5,239.25,241.5839657344833,,1023.7597374384285,,
2.0,1.0,00:26:33.640,39841.0,A,,長球,1.0,,A4,285.0,33.0,1.0,,,0,1,,B4,385.0,887.0,1.0,,,,,,348,35,408,1057,40.0,90.0,80.0,20.0,64.0,97.25,116.41976851033505,13.0,172.0,172.4905794529081,,16.15549442140351,,1
2.0,2.0,00:26:34.840,39871.0,B,,長球,,,B4,385.0,887.0,1.0,,,0,1,,A4,323.0,26.0,1.0,1280.0,348,35,408,1057,477,-36,471,-21,80.0,50.0,90.0,40.0,19.5,43.75,47.89898224388489,9.75,216.0,216.21994010728983,0.4550513001750634,988.9595542791424,1,4
2.0,3.0,00:26:36.120,39903.0,A,,殺球,1.0,,A4,323.0,26.0,1.0,,,0,1,,A1,81.0,606.0,2.0,560.0,477,-36,471,-21,477,-43,337,936,40.0,80.0,50.0,60.0,26.0,14.499999999999998,29.76995129320839,11.25,233.5,233.77085468466765,0.8566106978990526,117.04699910719626,4,1
2.0,4.0,00:26:36.680,39917.0,B,,擋小球,,1.0,A1,81.0,606.0,2.0,,,0,1,,B3,372.0,862.0,2.0,1000.0,477,-43,337,936,221,346,285,248,70.0,90.0,60.0,60.0,18.25,27.750000000000004,33.213325638966054,6.5,219.0,219.0964399528208,0.21463049643515247,941.3320349377259,1,2
2.0,5.0,00:26:37.680,39942.0,A,,挑球,,,B1,110.0,423.0,2.0,,,0,1,,B1,110.0,423.0,2.0,1040.0,221,346,285,248,299,171,324,1112,90.0,0.0,0.0,10.0,14.749999999999998,10.0,17.820283387196735,2.5,2.75,3.7165171868296265,0.3359920013928903,61.29437168288782,2,2
2.0,6.0,00:26:38.720,39968.0,B,,平球,,,B3,372.0,862.0,2.0,,,0,1,,A2,333.0,202.0,2.0,560.0,299,171,324,1112,403,229,369,178,0.0,90.0,40.0,50.0,17.5,55.25,57.95526291891013,11.0,303.75,303.9491116947046,0.7933762980169637,938.2542299398389,2,2
2.0,7.0,00:26:39.280,39982.0,A,,挑球,,1.0,A2,333.0,202.0,2.0,,,0,1,,B3,346.0,834.0,2.0,1200.0,403,229,369,178,330,118,395,1054,60.0,40.0,50.0,30.0,1.0,48.5,48.51030818290067,3.75,260.75,260.7769640900055,0.3193510129065578,907.0088202437724,2,1
2.0,8.0,00:26:40.480,40012.0,B,,過渡切球,,,B3,346.0,834.0,2.0,,,0,1,,B1,327.0,470.0,2.0,560.0,330,118,395,1054,389,158,385,1065,20.0,20.0,60.0,10.0,57.99999999999999,24.5,62.962290301417724,49.0,229.74999999999997,234.91713964715302,0.06314715967888188,998.3411240653166,1,1
2.0,9.0,00:26:41.040,40026.0,B,,掛網球,,,B1,327.0,470.0,2.0,未回擊成功,對手失誤,1,1,A,,,,,,389,158,385,1065,,,,,70.0,40.0,60.0,80.0,13.25,9.0,16.017568479641348,4.0,249.5,249.53206206818393,,21.0,1,
