rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
1.0,1.0,00:51:24.800,77120.0,B,1.0,發長球,,,B2,171.0,230.0,2.0,,,0,0,,B4,265.0,927.0,1.0,,,,,,328,178,191,996,30.0,0.0,80.0,20.0,21.75,10.0,23.938723859053137,29.499999999999996,214.5,216.5190522794703,,829.3931516476368,,1
1.0,2.0,00:51:26.800,77170.0,A,,長球,,,B4,265.0,927.0,1.0,,,0,0,,A4,335.0,53.0,1.0,2160.0,328,178,191,996,241,138,309,138,50.0,90.0,0.0,50.0,33.75,60.25,69.0588517135928,27.5,221.25,222.95248933349006,0.20799419412764705,68.0,1,2
1.0,3.0,00:51:27.800,77195.0,B,,殺球,1.0,,A4,335.0,53.0,1.0,,,0,0,,B3,382.0,757.0,2.0,1080.0,241,138,309,138,106,-103,199,1023,50.0,70.0,70.0,40.0,46.25,51.74999999999999,69.40551130854091,14.249999999999998,254.0,254.39941529020857,0.31899491989109124,1129.8340586121485,2,1
1.0,4.0,00:51:28.320,77208.0,A,,擋小球,,,B3,382.0,757.0,2.0,,,0,0,,A2,337.0,327.0,1.0,1040.0,106,-103,199,1023,291,104,256,7,50.0,10.0,0.0,40.0,28.749999999999996,5.25,29.225417020121373,42.5,46.0,62.62786919575023,0.40597111501658667,103.12128781197411,1,3
1.0,5.0,00:51:29.080,77227.0,B,,撲球,1.0,,A2,337.0,327.0,1.0,,,0,0,,A3,81.0,847.0,2.0,13160.0,291,104,256,7,406,125,426,191,60.0,70.0,90.0,0.0,6.5,88.25,88.48905299527168,37.75,192.5,196.16654276405038,0.013338517995092674,68.96375859826666,3,2
1.0,6.0,00:51:29.720,77243.0,A,,未擊球,,,A3,81.0,847.0,2.0,落地,撲球得分,0,1,B,,,,,2000.0,406,125,426,191,432,-228,275,961,0.0,40.0,60.0,50.0,10.0,53.5,54.42655601817922,31.5,243.75,245.77695681247252,0.108833014292539,1199.3206410297457,2,1
2.0,1.0,00:51:44.680,77617.0,B,1.0,發長球,,,B2,206.0,258.0,2.0,,,0,1,,A4,73.0,926.0,1.0,880.0,432,-228,275,961,392,-14,401,-14,60.0,30.0,70.0,80.0,14.000000000000002,95.75,96.76808616480952,3.25,234.50000000000003,234.52252024059436,0.4351386243685515,9.0,1,4
2.0,2.0,00:51:46.720,77668.0,A,,切球,1.0,,A4,73.0,926.0,1.0,,,0,1,,A2,345.0,310.0,2.0,1000.0,392,-14,401,-14,448,369,388,924,30.0,70.0,10.0,20.0,11.749999999999998,13.25,17.70946074842484,10.25,152.0,152.34520832635334,0.6608498316561789,558.2338219778519,4,2
2.0,3.0,00:51:47.640,77691.0,B,,挑球,,1.0,A2,345.0,310.0,2.0,,,0,1,,B3,276.0,847.0,1.0,720.0,448,369,388,924,401,316,429,316,80.0,50.0,40.0,90.0,8.0,51.24999999999999,51.870632346251575,24.0,179.75,181.34514743990258,0.4590466881295584,28.0,2,1
2.0,4.0,00:51:48.760,77719.0,A,,殺球,,,B3,276.0,847.0,1.0,,,0,1,,A3,346.0,153.0,2.0,640.0,401,316,429,316,369,111,333,1035,30.0,0.0,60.0,90.0,46.75,5.0,47.01661940207951,31.0,217.75000000000003,219.94558986258397,0.4138265837355667,924.7010327668073,1,1
